Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D27,D_Small,D_SOD-123,226.940301,-43.555674,90,bottom
D28,D_Small,D_SOD-123,245.990301,-43.555674,90,bottom
D29,D_Small,D_SOD-123,265.040301,-43.555674,90,bottom
D30,D_Small,D_SOD-123,288.852801,-43.555674,90,bottom
D33,D_Small,D_SOD-123,18.05,-64.03125,-90,bottom
D34,D_Small,D_SOD-123,60.252801,-62.605674,90,bottom
D35,D_Small,D_SOD-123,79.302801,-62.605674,90,bottom
D36,D_Small,D_SOD-123,98.352801,-62.605674,90,bottom
D37,D_Small,D_SOD-123,117.402801,-62.605674,90,bottom
D38,D_Small,D_SOD-123,136.452801,-62.605674,90,bottom
D39,D_Small,D_SOD-123,155.502801,-62.605674,90,bottom
D40,D_Small,D_SOD-123,174.552801,-62.605674,90,bottom
D41,D_Small,D_SOD-123,193.602801,-62.605674,90,bottom
D42,D_Small,D_SOD-123,212.652801,-62.605674,90,bottom
D43,D_Small,D_SOD-123,231.702801,-62.605674,90,bottom
D44,D_Small,D_SOD-123,250.752801,-62.605674,90,bottom
D45,D_Small,D_SOD-123,281.709051,-62.605674,90,bottom
D48,D_Small,D_SOD-123,17.25625,-78.31875,-90,bottom
D49,D_Small,D_SOD-123,53.975,-76.99375,-90,bottom
D50,D_Small,D_SOD-123,69.777801,-81.655674,90,bottom
D51,D_Small,D_SOD-123,88.827801,-81.655674,90,bottom
D52,D_Small,D_SOD-123,107.877801,-81.655674,90,bottom
D53,D_Small,D_SOD-123,126.927801,-81.655674,90,bottom
D54,D_Small,D_SOD-123,145.977801,-81.655674,90,bottom
D55,D_Small,D_SOD-123,165.027801,-81.655674,90,bottom
D56,D_Small,D_SOD-123,184.077801,-81.655674,90,bottom
D57,D_Small,D_SOD-123,203.127801,-81.655674,90,bottom
D58,D_Small,D_SOD-123,222.177801,-81.655674,90,bottom
D59,D_Small,D_SOD-123,241.227801,-81.655674,90,bottom
D60,D_Small,D_SOD-123,254.79375,-81.75625,90,bottom
D61,D_Small,D_SOD-123,282.36875,-80.7,-90,bottom
D63,D_Small,D_SOD-123,35.71875,-96.8375,90,bottom
D64,D_Small,D_SOD-123,46.625,-104.5125,-90,bottom
D65,D_Small,D_SOD-123,68.85,-103.71875,-90,bottom
D66,D_Small,D_SOD-123,119.784051,-100.705674,90,bottom
D67,D_Small,D_SOD-123,168.8625,-94.9875,-90,bottom
D68,D_Small,D_SOD-123,200.746551,-100.705674,90,bottom
D69,D_Small,D_SOD-123,222.177801,-100.705674,90,bottom
D70,D_Small,D_SOD-123,247.44375,-93.4,-90,bottom
D71,D_Small,D_SOD-123,266.7,-96.04375,90,bottom
D72,D_Small,D_SOD-123,277.01875,-103.1875,-90,bottom
F1,MF-MSMF050-2 500mA,Fuse_2010_5025Metric,25.45185,-34.632488,180,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,33.397408,-17.2,0,bottom
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,113.109368,-107.579589,-90,bottom
MX1,MX_SW_HS,SW_MX_HS_1u,23.8125,-23.8125,0,bottom
MX2,MX_SW_HS,SW_MX_HS_1u,42.8625,-23.8125,0,bottom
MX3,MX_SW_HS,SW_MX_HS_1u,61.9125,-23.8125,180,bottom
MX4,MX_SW_HS,SW_MX_HS_1u,80.9625,-23.8125,180,bottom
MX5,MX_SW_HS,SW_MX_HS_1u,100.0125,-23.8125,180,bottom
MX6,MX_SW_HS,SW_MX_HS_1u,119.0625,-23.8125,180,bottom
MX7,MX_SW_HS,SW_MX_HS_1u,138.1125,-23.8125,180,bottom
MX8,MX_SW_HS,SW_MX_HS_1u,157.1625,-23.8125,180,bottom
MX9,MX_SW_HS,SW_MX_HS_1u,176.2125,-23.8125,180,bottom
MX10,MX_SW_HS,SW_MX_HS_1u,195.2625,-23.8125,180,bottom
MX11,MX_SW_HS,SW_MX_HS_1u,214.3125,-23.8125,180,bottom
MX12,MX_SW_HS,SW_MX_HS_1u,233.3625,-23.8125,180,bottom
MX13,MX_SW_HS,SW_MX_HS_1u,252.4125,-23.8125,180,bottom
MX14,MX_SW_HS,SW_MX_HS_1u,271.4625,-23.8125,0,bottom
MX15,MX_SW_HS,SW_MX_HS_1u,290.5125,-23.8125,0,bottom
MX16,MX_SW_HS,SW_MX_HS_1u,280.9875,-23.8125,180,bottom
MX17,MX_SW_HS,SW_MX_HS_1.5u,28.575,-42.8625,0,bottom
MX18,MX_SW_HS,SW_MX_HS_1u,52.3875,-42.8625,180,bottom
MX19,MX_SW_HS,SW_MX_HS_1u,71.4375,-42.8625,180,bottom
MX20,MX_SW_HS,SW_MX_HS_1u,90.4875,-42.8625,180,bottom
MX21,MX_SW_HS,SW_MX_HS_1u,109.5375,-42.8625,180,bottom
MX22,MX_SW_HS,SW_MX_HS_1u,128.5875,-42.8625,180,bottom
MX23,MX_SW_HS,SW_MX_HS_1u,147.6375,-42.8625,180,bottom
MX24,MX_SW_HS,SW_MX_HS_1u,166.6875,-42.8625,180,bottom
MX25,MX_SW_HS,SW_MX_HS_1u,185.7375,-42.8625,180,bottom
MX26,MX_SW_HS,SW_MX_HS_1u,204.7875,-42.8625,180,bottom
MX27,MX_SW_HS,SW_MX_HS_1u,223.8375,-42.8625,180,bottom
MX28,MX_SW_HS,SW_MX_HS_1u,242.8875,-42.8625,180,bottom
MX29,MX_SW_HS,SW_MX_HS_1u,261.9375,-42.8625,180,bottom
MX30,MX_SW_HS,SW_MX_HS_1.5u,285.75,-42.8625,180,bottom
MX32,MX_SW_HS,SW_MX_HS_1.75u_STP_1.25,26.19375,-61.9125,180,bottom
MX33,MX_SW_HS,SW_MX_HS_1.75u,30.95625,-61.9125,0,bottom
MX34,MX_SW_HS,SW_MX_HS_1u,57.15,-61.9125,180,bottom
MX35,MX_SW_HS,SW_MX_HS_1u,76.2,-61.9125,180,bottom
MX36,MX_SW_HS,SW_MX_HS_1u,95.25,-61.9125,180,bottom
MX37,MX_SW_HS,SW_MX_HS_1u,114.3,-61.9125,180,bottom
MX38,MX_SW_HS,SW_MX_HS_1u,133.35,-61.9125,180,bottom
MX39,MX_SW_HS,SW_MX_HS_1u,152.4,-61.9125,180,bottom
MX40,MX_SW_HS,SW_MX_HS_1u,171.45,-61.9125,180,bottom
MX41,MX_SW_HS,SW_MX_HS_1u,190.5,-61.9125,180,bottom
MX42,MX_SW_HS,SW_MX_HS_1u,209.55,-61.9125,180,bottom
MX43,MX_SW_HS,SW_MX_HS_1u,228.6,-61.9125,180,bottom
MX44,MX_SW_HS,SW_MX_HS_1u,247.65,-61.9125,180,bottom
MX45,MX_SW_HS,SW_MX_HS_1u,278.60625,-61.9125,180,bottom
MX47,MX_SW_HS,SW_MX_HS_1u,35.71875,-80.9625,180,bottom
MX48,MX_SW_HS,SW_MX_HS_1.25u,26.19375,-80.9625,0,bottom
MX49,MX_SW_HS,SW_MX_HS_1u,47.625,-80.9625,0,bottom
MX50,MX_SW_HS,SW_MX_HS_1u,66.675,-80.9625,180,bottom
MX51,MX_SW_HS,SW_MX_HS_1u,85.725,-80.9625,180,bottom
MX52,MX_SW_HS,SW_MX_HS_1u,104.775,-80.9625,180,bottom
MX53,MX_SW_HS,SW_MX_HS_1u,123.825,-80.9625,180,bottom
MX54,MX_SW_HS,SW_MX_HS_1u,142.875,-80.9625,180,bottom
MX55,MX_SW_HS,SW_MX_HS_1u,161.925,-80.9625,180,bottom
MX56,MX_SW_HS,SW_MX_HS_1u,180.975,-80.9625,180,bottom
MX57,MX_SW_HS,SW_MX_HS_1u,200.025,-80.9625,180,bottom
MX58,MX_SW_HS,SW_MX_HS_1u,219.075,-80.9625,180,bottom
MX59,MX_SW_HS,SW_MX_HS_1u,238.125,-80.9625,180,bottom
MX60,MX_SW_HS,SW_MX_HS_1.75u,264.31875,-80.9625,0,bottom
MX61,MX_SW_HS,SW_MX_HS_1u,290.5125,-80.9625,0,bottom
MX62,MX_SW_HS,SW_MX_HS_1u,273.84375,-80.9625,180,bottom
MX63,MX_SW_HS,SW_MX_HS_1u,23.8125,-100.0125,180,bottom
MX64,MX_SW_HS,SW_MX_HS_1u,57.15,-100.0125,0,bottom
MX65,MX_SW_HS,SW_MX_HS_1.25u,78.58125,-100.0125,0,bottom
MX66,MX_SW_HS,SW_MX_HS_1u,116.68125,-100.0125,180,bottom
MX67,MX_SW_HS,SW_MX_HS_1u,164.30625,-100.0125,0,bottom
MX68,MX_SW_HS,SW_MX_HS_1.25u,197.64375,-100.0125,180,bottom
MX69,MX_SW_HS,SW_MX_HS_1u,219.075,-100.0125,180,bottom
MX70,MX_SW_HS,SW_MX_HS_1u,238.125,-100.0125,180,bottom
MX71,MX_SW_HS,SW_MX_HS_1u,257.175,-100.0125,180,bottom
MX72,MX_SW_HS,SW_MX_HS_1u,290.5125,-100.0125,0,bottom
MX73,MX_SW_HS,SW_MX_HS_1.5u,28.575,-100.0125,0,bottom
MX74,MX_SW_HS,SW_MX_HS_1u,52.3875,-100.0125,180,bottom
MX75,MX_SW_HS,SW_MX_HS_1.5u,76.2,-100.0125,180,bottom
MX76,MX_SW_HS,SW_MX_HS_1u,157.1625,-100.0125,180,bottom
MX77,MX_SW_HS,SW_MX_HS_1.25u,240.50625,-100.0125,0,bottom
MX78,MX_SW_HS,SW_MX_HS_1u,261.9375,-100.0125,0,bottom
MX79,MX_SW_HS,SW_MX_HS_1.5u,285.75,-100.0125,180,bottom
R1,5.1k,R_0402_1005Metric,31.793493,-23.182429,180,bottom
R2,5.1k,R_0402_1005Metric,35.627228,-23.163951,0,bottom
R3,5.1k,R_0402_1005Metric,95.752359,-96.722362,-90,bottom
R4,5.1k,R_0402_1005Metric,161.4875,-67.0475,180,bottom
R5,5.1k,R_0402_1005Metric,161.4875,-68.2475,0,bottom
R6,1k,R_0402_1005Metric,161.4875,-69.6475,180,bottom
R7,27,R_0402_1005Metric,139.588453,-86.223288,-90,bottom
R8,27,R_0402_1005Metric,138.536935,-86.218159,-90,bottom
R9,1k,R_0402_1005Metric,139.513854,-103.39753,45,bottom
RESET1,SW_Push,PinSocket_1x02_P2.54mm_Vertical,92.968955,-96.282889,180,bottom
U1,XC6206PxxxMR,SOT-23-3,126.20625,-72.23125,180,bottom
U2,SRV05-4,SOT-23-6-routable,33.297515,-30.022995,180,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,152.418984,-84.456311,180,bottom
U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,140.2875,-94.9875,180,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,141.243917,-105.208395,45,bottom
