Ref,Val,Package,PosX,PosY,Rot,Side
"J1","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",33.397408,-17.200000,0.000000,bottom
"J3","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",113.109368,-107.579589,-90.000000,bottom
"R1","5.1k","R_0402_1005Metric",31.793493,-23.182429,180.000000,bottom
"R2","5.1k","R_0402_1005Metric",35.627228,-23.163951,0.000000,bottom
"R3","5.1k","R_0402_1005Metric",95.752359,-96.722362,-90.000000,bottom
"R4","5.1k","R_0402_1005Metric",161.487500,-67.047500,180.000000,bottom
"R5","5.1k","R_0402_1005Metric",161.487500,-68.247500,0.000000,bottom
"R6","1k","R_0402_1005Metric",161.487500,-69.647500,180.000000,bottom
"R7","27","R_0402_1005Metric",139.588453,-86.223288,-90.000000,bottom
"R8","27","R_0402_1005Metric",138.536935,-86.218159,-90.000000,bottom
"R9","1k","R_0402_1005Metric",139.513854,-103.397530,45.000000,bottom
"RESET1","SW_Push","PinSocket_1x02_P2.54mm_Vertical",92.968955,-96.282889,180.000000,bottom
"U1","XC6206P332MR","SOT-23-3",126.206250,-72.231250,180.000000,bottom
"U2","SRV05-4","SOT-23-6-routable",33.297515,-30.022995,180.000000,bottom
"U3","W25Q128JVSIQ","SOIC-8_5.23x5.23mm_P1.27mm",152.418984,-84.456311,180.000000,bottom
"U4","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",140.287500,-94.987500,180.000000,bottom
"Y1","X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",141.243917,-105.208395,45.000000,bottom
